"OTUs";"taxa";"Aldex.kw.0.05";"Aldex.kw.0.01";"Aldex.kw.0.001";"Log_ratio.max";"glmnet_sign.CAU";"glmnet_sign.CYM";"simper.props";"CAU_T0_1";"CAU_T0_2";"CAU_T0_3";"CAU_T1_1";"CAU_T1_2";"CAU_T1_3";"CAU_T2C_1";"CAU_T2C_2";"CAU_T2C_3";"CAU_T2HW_1";"CAU_T2HW_2";"CAU_T2HW_3";"CYM_T0_1";"CYM_T0_2";"CYM_T0_3";"CYM_T1_1";"CYM_T1_2";"CYM_T1_3";"CYM_T2C_1";"CYM_T2C_2";"CYM_T2C_3";"CYM_T2HW_1";"CYM_T2HW_2";"CYM_T2HW_3"
"OTU21";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Zeaxanthinibacter.s__uncultured_bacterium";1;1;0;0;0;0;0;0,00114014544558117;0,000819290981156307;0,00114077116130504;0,000765428161377771;0,000653765690376569;0,00200898937619177;0,0010800549846174;0,000603882967480902;0,000903342366757001;0,000894340104765555;0,00121209349128665;0,00090702947845805;0,00089376467701798;0,000982318271119843;0,000920647285860982;0,00123004610954969;0,000904741333637631;0,00170931881826668;0,000943313443313443;0,00134897179516224;0,00130759330759331;0,00475288405912179;0,00100465313028765;0,000989746669335646
"OTU22";"d__Bacteria.p__Desulfobacterota.c__Desulfobacteria.o__Desulfobacterales.f__Desulfosarcinaceae.g__Desulfatitalea.s__uncultured_Desulfobacteraceae";1;1;1;1;0;1;1;0,0165783310735856;0,0215672815039525;0,013118868355008;0,0194865252750757;0,0226529811715481;0,0229842004903296;0,0136806964718204;0,0344213291464114;0,0536735922914785;0,0437907244154849;0,0248364817271189;0,0148871142659963;0,000753566296309278;0,000517009616378865;0,00061966644240643;0,000590971873861864;0,000586859243440625;0,000545527282425536;0,000581344331344331;0,000834097064184284;0,000720720720720721;0,000385675556110122;0,000465313028764805;0,00053379595649563
"OTU23";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Sphingobacteriales.f__Lentimicrobiaceae.g__Lentimicrobiaceae.__";1;1;1;0;0;1;1;0,00653272525576236;0,0118686477270211;0,00692067837858392;0,00972731621750917;0,0128138075313808;0,00875102152002179;0,00886954244943379;0,00872610888009904;0,0112165010538994;0,00953430433116136;0,01161780176554;0,00757172434191068;0,00243594686481371;0,0028694033709027;0,00371799865443858;0,00358706183902201;0,00254305672157604;0,00623113384814945;0,00342225342225342;0,00422197279401922;0,00370656370656371;0,00484363124879476;0,00528764805414552;0,00432597139743333
"OTU24";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.__.__.__";1;1;1;0;0;0;1;0,00952175520769136;0,00515931888133567;0,00661647273556924;0,0085153882953277;0,00722411087866109;0,00861481885044947;0,00723309550304379;0,0067634892357861;0,00986148750376393;0,00983774115242111;0,00612907652197777;0,0102336586808636;0,00122673583120115;0,0020938889463344;0,001735066038738;0,00230891336764635;0,0042384278692934;0,00368533986349695;0,00352097227097227;0,00271853857956359;0,00186357786357786;0,00212121555860567;0,00482233502538071;0,00301372300438158
"OTU25";"d__Archaea.p__Asgardarchaeota.c__Heimdallarchaeia.o__Heimdallarchaeia.f__Heimdallarchaeia.g__Heimdallarchaeia.s__uncultured_archaeon";1;1;1;0;0;0;1;0,00224947614938987;0,00177143995925688;0,00231956802798692;0,0022324988040185;0,00202667364016736;0,00408608008716971;0,0016037180074622;0,00238533772154956;0,0038768443239988;0,00217196882585921;0,00182957508118739;0,00352952775313024;0,000806140689075041;0,000232654327370489;0,000708190219893063;0,00112696961992262;0,00053795430648724;0,00221847761519718;0,000614250614250614;0,000813502074945166;0,000833976833976834;0,00258629490567964;0,00158629441624365;0,00187940659682836
"OTU26";"d__Bacteria.p__Chloroflexi.c__Anaerolineae.o__SBR1031.f__SBR1031.g__SBR1031.s__uncultured_organism";1;1;1;0;0;0;1;0,00708739060766671;0,00493788888642856;0,00562780439577154;0,00373146228671663;0,00372646443514644;0,00653772813947153;0,0039602016102638;0,00531417011383194;0,00609756097560976;0,00742621694135684;0,00498559209623565;0,0043971211673075;0,00150713259261856;0,000672112501292524;0,00129244715130484;0,00210276038839221;0,00106775779014892;0,00377019966298537;0,00183178308178308;0,00220366384858564;0,00247104247104247;0,00393615935206507;0,00409263959390863;0,00380329619003136
"OTU27";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Ulvibacter.s__Aureitalea_sp.";0;0;0;0;0;0;1;0,00197214347343769;0,00106286397555413;0,00281390219788577;0,00264710572476479;0,00147097280334728;0,000646962680468537;0,0016037180074622;0,0012077659349618;0,000602228244504667;0,000990162258847579;0,000548872524356218;0,00118308192842354;0,005485261645228;0,00369661875710888;0,00331078927800007;0,00379321481827615;0,00436069021167687;0,00145473941980143;0,00417909792909793;0,00410870035320407;0,00335649935649936;0,00073732091609288;0,00119500846023689;0,00151242187673762
"OTU28";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Chromatiales.f__Chromatiaceae.g__Candidatus_Thiobios.s__uncultured_sediment";1;1;0;0;0;1;0;0,00274251201774929;0,00239144394499679;0,00250969655487109;0,00322117684579812;0,00405334728033473;0,00241759738490874;0,0027492308699352;0,0024759201666717;0,00210779885576634;0,00223585026191389;0,00290445044138499;0,00418022281376319;0,00166485577091585;0,00201633750387757;0,00240784674763641;0,00211650392034249;0,00229853203680912;0,00237607438567567;0,00146981396981397;0,00179176406380328;0,00205920205920206;0,00332361582177252;0,00269670050761421;0,00220190832054447
"OTU29";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Milano.WF1B.44.f__Milano.WF1B.44.g__Milano.WF1B.44.s__uncultured_gamma";1;1;0;0;0;0;0;0,00252680882534204;0,00272358893735745;0,00220549091185642;0,00232817732419072;0,00385721757322176;0,00136202669572324;0,0036983700988414;0,00380446269512968;0,00150557061126167;0,0017407691324901;0,00217262040891003;0,00295770482105886;0,00269881882864253;0,0020938889463344;0,00262030381360433;0,00189660740913807;0,00194804665530985;0,00109105456485107;0,00201825201825202;0,00229634130016167;0,00187387387387387;0,000907471896729698;0,00256979695431472;0,00243544405151131
"OTU30";"d__Bacteria.p__Bacteroidota.c__Ignavibacteria.o__Ignavibacteriales.f__PHOS.HE36.g__PHOS.HE36.s__uncultured_bacterium";1;1;1;1;0;1;1;0,00332799211142611;0,00586789486503842;0,00444900752908966;0,00526231860947217;0,00552432008368201;0,00340506673930809;0,00566210643450939;0,00347232706301519;0,0038768443239988;0,00515842596141561;0,00633490371861135;0,00317460317460317;0,000595843118011987;0,000439458173922035;0,00061966644240643;0,000467280086309381;0,000309731267371441;0,000497035968432155;0,00078975078975079;0,000751717107227811;0,000586872586872587;0,000499109543201334;0,000454737732656514;0,000689486443806855
"OTU31";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Ectothiorhodospirales.__.__.__";1;1;0;0;0;1;0;0,00391347220510292;0,00217001395008968;0,00342231348391513;0,00184978472332961;0,00245162133891213;0,00251974938708799;0,0033383517706356;0,00238533772154956;0,00188196326407709;0,00129359908010732;0,00189818414673192;0,00321403923888396;0,00322456275630016;0,00343811394891945;0,00292128465705889;0,00210276038839221;0,00361081451172496;0,00174568730376171;0,00248990873990874;0,00243020873021594;0,00274903474903475;0,00191703438184149;0,00179780033840948;0,00205733858232691
"OTU32";"d__Bacteria.p__Desulfobacterota.c__Desulfobacteria.o__Desulfobacterales.f__Desulfosarcinaceae.g__uncultured.__";1;1;1;1;0;1;1;0,00893627511401454;0,00628861185536193;0,00726290972697544;0,0085153882953277;0,00676647489539749;0,00847861618087714;0,00559664855665379;0,0068238775325342;0,00978620897320084;0,00699501724798773;0,00667794904633399;0,00865621610963226;0,00103396305772668;0,00188708509978286;0,00141638043978613;0,00112009785394749;0,00144269564012487;0,00184266993174848;0,00127237627237627;0,00144164924673827;0,00131788931788932;0,00157673242056785;0,00116328257191201;0,00132336914214541
"OTU33";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidetes_VC2.1_Bac22.f__Bacteroidetes_VC2.1_Bac22.g__Bacteroidetes_VC2.1_Bac22.s__uncultured_Bacteroidetes";1;1;1;0;0;0;1;0,0041908048810551;0,00830362480901663;0,00513347022587269;0,00886620953595918;0,0103948744769874;0,00459684009806592;0,00749492701446619;0,00567649989432048;0,00782896717856067;0,00643605468250926;0,00901065727484792;0,00652666863846988;0,00150713259261856;0,00204218798469652;0,00292128465705889;0,00227455453777066;0,00198064994661211;0,00499460534131824;0,00190856440856441;0,0032951982782589;0,00222393822393822;0,00267704209535261;0,0030668358714044;0,00301372300438158
"OTU34";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Maribacter.__";1;0;0;0;0;0;1;0,00191051398989276;0,00124000797147982;0,00171115674195756;0,00153085632275554;0,00111140167364017;0,000646962680468537;0,0012764286181842;0,00114737763821371;0,000940981632038543;0,00076657723265619;0,000891917852078855;0,00189293108547767;0,00480179453927307;0,0026884500051701;0,00316915123402146;0,00338778062574301;0,00324402748457457;0,00186691558874517;0,00401456651456651;0,00364531309532391;0,00386100386100386;0,00115702666833037;0,0011844331641286;0,00183492360045373
"OTU35";"d__Bacteria.p__Desulfobacterota.c__Desulfobacteria.o__Desulfobacterales.f__Desulfosarcinaceae.g__LCP.80.s__uncultured_delta";1;1;1;1;0;1;1;0,00372858375446814;0,00418502690374438;0,00482926458285801;0,00459256896826662;0,00428216527196653;0,00473304276763825;0,00490934083916999;0,00440834566261059;0,00542005420054201;0,00335377539287083;0,00391071673603806;0,00536330474218673;0,00024534716624023;0,000258504808189432;0,000177047554973266;0,00033671653278176;0,000260826330418056;0,000581895767920571;0,000383906633906634;0,000401602290162803;0,000277992277992278;0,000635230327710789;0,000433587140439932;0,000489312960120994
"OTU36";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Steroidobacterales.f__Woeseiaceae.g__Woeseia.__";0;0;0;0;0;0;1;0,0106002711697276;0,00759504882531388;0,0123203285420945;0,00880242385584436;0,00725679916317992;0,00514165077635522;0,00870589775479479;0,00631057701017543;0,00391448358928034;0,00475916698607385;0,00507707085029502;0,00847875382036873;0,0271634362623112;0,0260831351463137;0,0272653234658829;0,0180108986208366;0,0280306796971154;0,0155172204778819;0,0248332748332748;0,0212437314001503;0,019994851994852;0,0203840874802908;0,0148582910321489;0,0136006761415449
"OTU37";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__KI89A_clade.f__KI89A_clade.g__KI89A_clade.__";0;0;0;0;0;0;1;0,00194132873166523;0,00155000996434977;0,00266179937637843;0,00204114176367406;0,00124215481171548;0,00119177335875783;0,0020619231524514;0,00144931912195417;0,000940981632038543;0,00118180656701163;0,000891917852078855;0,00165631469979296;0,00508219130069048;0,00532519904870231;0,00743599730887716;0,00454910907554132;0,00556701198986038;0,00386718229097213;0,00551728676728677;0,00541648216988807;0,00474646074646075;0,00458273307848498;0,00378595600676819;0,00418140165921576
"OTU38";"Unassigned.__.__.__.__.__.__";0;0;0;1;1;0;1;0,000554665351904351;0,000686432984212041;0,000228154232261008;0,00022324988040185;0,00042494769874477;0,000578861345682375;0,0001963736335668;0,000513300522358767;0,000865703101475459;0,00103807333588859;0,0013493116223757;0,00145913437838904;0,0113911184325821;0,0111932581946024;0,00771927339683439;0,00465905733114353;0,00353745710629488;0,00618264253415607;0,00572569322569323;0,00506636735282306;0,00474646074646075;0,004117653731411;0,00760363790186125;0,0050376993394275
"OTU39";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Sphingobacteriales.f__Lentimicrobiaceae.g__Lentimicrobiaceae.s__uncultured_Bacteroidetes";1;1;1;1;0;1;1;0,00348206582028843;0,00686432984212041;0,00418282759145182;0,0049433902088981;0,0078125;0,00340506673930809;0,00523663022844799;0,00320057972764878;0,00636103583258055;0,00514245560240194;0,00644925216118556;0,00506753426008084;0,000455644737303284;0,00072381346293041;0,000761304486385043;0,000735278959339761;0,000668367471696268;0,00156384487628654;0,000691031941031941;0,0011327244081515;0,000926640926640927;0,000680603922547274;0,00101522842639594;0,00127888614577078
"OTU40";"d__Bacteria.p__Chloroflexi.c__Anaerolineae.o__Anaerolineales.f__Anaerolineaceae.g__Pelolinea.s__uncultured_bacterium";1;1;1;0;0;1;1;0,00252680882534204;0,00236930094550608;0,00212943950110275;0,00181789188327221;0,00232086820083682;0,00255380005448107;0,0018655495188846;0,00184184305081675;0,00173140620295092;0,00317810144372045;0,00224122947445456;0,00248447204968944;0,000420595142126108;0,000232654327370489;0,000442618887433165;0,000687176597513795;0,000309731267371441;0,00109105456485107;0,000669094419094419;0,000741419612608252;0,000854568854568855;0,000941502092857062;0,00127961082910321;0,00122328240030248
"OTU41";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__B2M28.f__B2M28.g__B2M28.__";1;1;0;0;0;0;0;0,00274251201774929;0,00312216292819025;0,00399269906456765;0,00430553340774996;0,00415141213389121;0,00265595205666031;0,00576029325129279;0,00398562758537395;0,00229599518217404;0,00269899067331034;0,00397932580158258;0,00477176377797496;0,00481931933686166;0,00498914279805604;0,00455012216281293;0,00472090322491977;0,00455630995949041;0,00375807683448702;0,00575859950859951;0,00557094458918145;0,00464350064350064;0,0035277969985367;0,00357445008460237;0,00419252240830942
"OTU42";"d__Bacteria.p__Myxococcota.c__Polyangia.o__Polyangiales.f__Sandaracinaceae.g__uncultured.__";0;0;0;1;1;0;1;0,00191051398989276;0,00172715396027546;0,0026237736710016;0,00229628448413331;0,00101333682008368;0,00139607736311632;0,0018328205799568;0,00132854252845798;0,00124209575429088;0,00113389548997061;0,00132644193386086;0,00175490486049492;0,00630892713189163;0,00930617309481956;0,0091887681031125;0,00725658486974568;0,00833829175055222;0,00798894398040951;0,0100802913302913;0,00695080886820237;0,00682625482625483;0,0153249316560228;0,00924280879864636;0,00779564511465492
