"OTUs";"taxa";"Log_ratio.max";"glmnet_sign.ext.3.T2C";"glmnet_sign.ext.3.T2HW";"glmnet_sign.ext.5.T2C";"glmnet_sign.ext.5.T2HW";"glmnet_sign.ext.10.T2C";"glmnet_sign.ext.10.T2HW";"Aldex.kw.noadjust.0.05";"simper.rel";"CYM_T2C_1";"CYM_T2C_2";"CYM_T2C_3";"CYM_T2HW_1";"CYM_T2HW_2";"CYM_T2HW_3"
"OTU39";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Lentimicrobiaceae;g__Lentimicrobiaceae;s__uncultured_Bacteroidetes";0;0;0;1;0;0;0;0;0;0,000691031941031941;0,0011327244081515;0,000926640926640927;0,000680603922547274;0,00101522842639594;0,00127888614577078
"OTU40";"d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Pelolinea;s__uncultured_bacterium";1;0;0;0;0;0;0;0;0;0,000669094419094419;0,000741419612608252;0,000854568854568855;0,000941502092857062;0,00127961082910321;0,00122328240030248
"OTU41";"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__B2M28;f__B2M28;g__B2M28;__";1;0;0;0;0;0;0;0;1;0,00575859950859951;0,00557094458918145;0,00464350064350064;0,0035277969985367;0,00357445008460237;0,00419252240830942
"OTU42";"d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Sandaracinaceae;g__uncultured;__";0;0;0;0;0;0;0;0;1;0,0100802913302913;0,00695080886820237;0,00682625482625483;0,0153249316560228;0,00924280879864636;0,00779564511465492
"OTU43";"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__uncultured;f__uncultured;g__uncultured;s__uncultured_Thioalkalivibrio";0;0;0;0;0;0;0;0;0;0,000921375921375921;0,00125629434358621;0,00116344916344916;0,000816724707056728;0,000877749576988156;0,00131224839305176
"OTU44";"d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__SEEP-SRB1;__";1;0;0;0;0;0;0;0;1;0,00119559494559495;0,00150343421445562;0,00172972972972973;0,00266569869664349;0,00268612521150592;0,00278018727341474
"OTU45";"d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;__;__";0;0;0;0;0;0;0;0;0;0,002753159003159;0,00165789663374901;0,00234749034749035;0,00167882300894994;0,00189297800338409;0,00202397633504593
"OTU46";"d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__Ignavibacterium;__";0;0;0;0;0;0;0;0;0;0,0000987188487188487;0,0000926774515760316;0,000133848133848134;0,000147464183218576;0,0000634517766497462;0,000177931985498543
"OTU47";"d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__SCGC_AAA011-D5;g__SCGC_AAA011-D5;s__uncultured_euryarchaeote";0;0;0;0;0;0;0;0;0;0,000702000702000702;0,000710527128749575;0,000586872586872587;0,000896128498020577;0,00131133671742809;0,00053379595649563
"OTU48";"d__Bacteria;p__Patescibacteria;c__Parcubacteria;__;__;__;__";1;1;0;0;0;0;0;0;0;0,000416812916812917;0,000339817322445449;0,000319176319176319;0,000294928366437152;0,000253807106598985;0,000189052734592202
"OTU49";"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__Candidatus_Thiodiazotropha;s__Candidatus_Thiodiazotropha";0;0;0;0;0;0;0;0;1;0,00281897156897157;0,00406751037472583;0,00367567567567568;0,00272241569018909;0,00255922165820643;0,00324725873534841
"OTU50";"d__Bacteria;p__Sva0485;c__Sva0485;o__Sva0485;f__Sva0485;g__Sva0485;__";0;0;0;0;0;0;0;0;1;0,00112978237978238;0,0015343266983143;0,00141055341055341;0,00214390235602391;0,00214678510998308;0,00183492360045373
"OTU51";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidetes_BD2-2;g__Bacteroidetes_BD2-2;s__uncultured_Bacteroidetes/Chlorobi";0;0;0;0;0;0;0;0;0;0,00103106353106353;0,00129748432206444;0,00128700128700129;0,0012818040541307;0,00180837563451777;0,00151242187673762
"OTU52";"d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Actinomarinales;f__uncultured;g__uncultured;__";0;0;0;0;0;0;0;0;1;0,0144458581958582;0,017165923530805;0,0242471042471042;0,0216318613382942;0,0276861252115059;0,0264673828429083
"OTU53";"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__uncultured;f__uncultured;g__uncultured;__";0;0;0;0;0;0;0;0;0;0,00252281502281502;0,00321281832130243;0,00261518661518662;0,00198509477409621;0,00266497461928934;0,00262449678610351
"OTU54";"d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__Ilumatobacter;__";0;0;0;0;0;0;0;0;0;0,00238022113022113;0,00190503650461843;0,0025019305019305;0,00216658915344215;0,00208333333333333;0,00237984030604301
"OTU55";"d__Bacteria;p__Calditrichota;c__Calditrichia;o__Calditrichales;f__Calditrichaceae;g__Caldithrix;s__uncultured_bacterium";0;0;0;0;0;0;0;0;0;0,00141497016497016;0,00160640916065121;0,00132818532818533;0,00158807581927697;0,00170262267343486;0,0014901803785503
